,song,lyrics
252573,Isn't It About Time,[]
252578,A Passion Play (Edit #8),[]
252582,What's Your Mama's Name,[]
252618,The Cisco Kid,[]
252638,Drinking Wine Spo-dee O'dee,[]
252644,Armed And Extremely Dangerous,[]
252673,Bad Weather,[]
252674,Don't Let It Get You Down,[]
252677,Together We Can Make Such Sweet Music,[]
252679,Out Of The Question,[]
252730,Daisy A Day,[]
252746,I Knew Jesus (Before He Was A Star),[]
252762,I'm A Stranger Here,[]
252768,What A Shame,[]
252770,California Saga (On My Way To Sunny Californ-i-a),[]
252785,I'm Leavin' You,[]
252836,The Twelfth Of Never,[]
252848,Only In Your Heart,[]
252858,It's Hard To Stop (Doing Something When It's Good To You),[]
252861,Peaceful,[]
252870,Cosmic Sea,[]
252877,A Little Bit Like Magic,[]
252918,Walk On The Wild Side,[]
252937,"""Cherry Cherry"" from Hot August Night",[]
252939,Blue Suede Shoes,[]
252942,"Pinball Wizard/See Me, Feel Me",[]
252944,Hallelujah Day,[]
252985,Dueling Tubas,[]
253019,Ain't No Woman (Like The One I've Got),[]
253029,Neither One Of Us (Wants To Be The First To Say Goodbye),[]
253042,Killing Me Softly With His Song,[]
253044,One Man Band (Plays All Alone),[]
253046,Who Was It?,[]
253047,Dancing To Your Music,[]
253049,If We Try,[]
253143,Oh La De Da,[]
253152,Cindy Incidentally,[]
253156,Everything's Been Changed,[]
253161,People Are Changin',[]
253165,Am I Black Enough For You,[]
253172,Only Love,[]
253220,Call Me (Come Back Home),[]
253242,Across 110th Street,[]
253250,The Lord Knows I'm Drinking,[]
253263,Last Tango In Paris,[]
253279,Fool Like You,[]
253309,Also Sprach Zarathustra (2001),[]
253318,Dead Skunk,[]
253326,A Letter To Myself,[]
253330,Bitter Bad,[]
253338,Down And Out In New York City,[]
253343,Let Your Yeah Be Yeah,[]
253352,Cook With Honey,[]
253363,"Mama Was A Rock And Roll Singer, Papa Used To Write All Her Songs Part 1",[]
253372,Delta Queen,[]
253375,If I Could Only Be Sure,[]
253385,Friend And A Lover,[]
253409,Last Song,[]
253411,"The Cover Of ""Rolling Stone""",[]
253414,Hummingbird,[]
253417,Dueling Banjos,[]
253430,Master Of Eyes (The Deepness Of Your Eyes),[]
253449,Yesterday I Had The Blues,[]
253454,Gudbuy T' Jane,[]
253455,Aubrey,[]
253472,River Road,[]
253484,Mr. Magic Man,[]
253513,Could It Be I'm Falling In Love,[]
253516,I'm Just A Singer (In A Rock And Roll Band),[]
253532,Kissing My Love,[]
253534,Big City Miss Ruth Ann,[]
253536,Do You Want To Dance?,[]
253539,One Less Set Of Footsteps,[]
253543,Good Morning Heartache,[]
253549,If You Gotta Break Another Heart,[]
253555,Hello Hurray,[]
253559,Pardon Me Sir,[]
253580,Saw A New Morning,[]
253584,Wish That I Could Talk To You,[]
253631,Crocodile Rock,[]
253637,Rocky Mountain High,[]
253640,Give Me Your Love,[]
253641,Soul Song,[]
253647,Love Is What You Make It,[]
253652,Magic Woman Touch,[]
253669,Dream Me Home,[]
253679,Kufanya Mapenzi (Making Love),[]
253730,Dancing In The Moonlight,[]
253735,You're So Vain,[]
253744,Don't Expect Me To Be Your Friend,[]
253756,"Boo, Boo, Don't 'Cha Be Blue",[]
253762,One Man Parade,[]
253782,"Names, Tags, Numbers & Labels",[]
253827,Jambalaya (On The Bayou),[]
253829,Rosalie,[]
253839,Don't Cross The River,[]
253840,Peaceful Easy Feeling,[]
253847,Follow Your Daughter Home,[]
253849,Lost Horizon,[]
253864,Bell Bottom Blues,[]
253877,"Stop, Wait & Listen",[]
253915,Dreidel,[]
253919,"Oh, Babe, What Would You Say?",[]
253927,I Got Ants In My Pants (and i want to dance) (Part 1),[]
253932,Today I Started Loving You Again,[]
253941,Control Of Me,[]
253973,Girl You Need A Change Of Mind (Part 1),[]
253981,We Did It,[]
254011,Why Can't We Live Together,[]
254015,Superstition,[]
254023,"Living Together, Growing Together",[]
254039,Love Jones,[]
254048,Trouble Man,[]
254054,How Can I Tell You,[]
254062,Palace Guard,[]
254083,Love Music,[]
254121,Jesus Is Just Alright,[]
254124,"Hi, Hi, Hi",[]
254131,"You Turn Me On, I'm A Radio",[]
254133,Reelin' & Rockin',[]
254138,Harry Hippie,[]
254144,Superfly,[]
254165,Don't Burn Me,[]
254177,Breaking Up Somebody's Home,[]
254184,She's Got To Be A Saint,[]
254230,Separate Ways,[]
254234,I'm Never Gonna Be Alone Anymore,[]
254237,You've Got To Take It (If You Want It),[]
254242,Pieces Of April,[]
254245,Tweedlee Dee,[]
254250,Daytime Night-Time,[]
254254,Boogie Woogie Man,[]
254257,Hot Wire,[]
254264,Slow Motion (Part 1),[]
254280,Somebody Loves You,[]
254283,Tossin' And Turnin',[]
254314,Clair,[]
254318,Rockin' Pneumonia - Boogie Woogie Flu,[]
254321,Don't Let Me Be Lonely Tonight,[]
254325,Funny Face,[]
254333,Smoke Gets In Your Eyes,[]
254338,Don't Leave Me Starvin' For Your Love (Part 1),[]
254341,I'll Be Your Shelter (In Time Of Storm),[]
254348,Songman,[]
254355,I Never Said Goodbye,[]
254365,Fever/My Crew,[]
254377,Sugar Magnolia,[]
254379,We're Gonna Have A Good Time,[]
254382,Come Softly To Me,[]
254425,Looking Through The Eyes Of Love,[]
254427,Living In The Past,[]
254431,I Can't Stand To See You Cry,[]
254442,What My Baby Needs Now Is A Little More Lovin',[]
254449,Silly Wasn't I,[]
254459,It Never Rains In Southern California,[]
254468,But I Do,[]
254477,Blind Eye/Sweet Lorraine,[]
254484,If It's All Right With You,[]
254517,Keeper Of The Castle,[]
254524,Sitting,[]
254532,The Relay,[]
254534,You Ought To Be With Me,[]
254535,Been To Canaan,[]
254542,Remember (Christmas),[]
254558,"Oh No, Not My Baby",[]
254568,Didn't We,[]
254575,We,[]
254576,On And Off (Part 1),[]
254581,I Miss You Baby,[]
254582,One Of The Boys,[]
254633,Something's Wrong With Me,[]
254638,I Can See Clearly Now,[]
254649,In Heaven There Is No Beer,[]
254658,Anthem,[]
254667,Mama Weer All Crazee Now,[]
254675,Choo Choo Mama,[]
254733,Let Us Love,[]
254736,You're A Lady,[]
254743,Corner Of The Sky,[]
254749,Long Dark Road,[]
254758,Trouble In My Home/I Found My Dad,[]
254760,What Am I Crying For?,[]
254777,Jesus Was A Capricorn,[]
254830,Summer Breeze,[]
254841,Ventura Highway,[]
254844,I'm Stone In Love With You,[]
254849,Crazy Horses,[]
254855,Everybody Loves A Love Song,[]
254857,We Need Order,[]
254882,The Red Back Spider,[]
254934,Dialogue (Part I & II),[]
254942,Operator (That's Not the Way it Feels),[]
254945,I Got A Bag Of My Own,[]
254954,992 Arguments,[]
254957,I Didn't Know I Loved You (Till I Saw You Rock And Roll),[]
254978,Knock Knock Who's There,[]
255024,Sunny Days,[]
255050,I'd Love You To Want Me,[]
255056,Good Time Sally,[]
255057,The Jean Genie,[]
255068,And You And I (Part II),[]
255072,One Way Out,[]
255075,Me And My Baby Got A Good Thing Going,[]
255119,If I Could Reach You,[]
255127,Theme From The Men,[]
255129,Rock 'N Roll Soul,[]
255146,One Night Affair,[]
255151,Day And Night,[]
255155,Special Someone,[]
255159,What Would The Children Think,[]
255176,I Received A Letter,[]
255214,Convention '72,[]
255233,So Long Dixie,[]
255249,Wedding Song (There Is Love),[]
255252,Down To The Nightclub,[]
255269,"Lovin' You, Lovin' Me",[]
255275,Annabelle,[]
255303,Nights In White Satin,[]
255309,"Freddie's Dead (Theme From ""Superfly"")",[]
255311,Witchy Woman,[]
255326,American City Suite,[]
255338,All The Young Dudes,[]
255348,Man Sized Job,[]
255356,Woman Don't Go Astray,[]
255361,Why Can't We Be Lovers,[]
255371,I Guess I'll Miss The Man,[]
255408,Burning Love,[]
255411,Listen To The Music,[]
255417,Good Time Charlie's Got The Blues,[]
255418,My Ding-A-Ling,[]
255419,Elected,[]
255421,I Believe In Music,[]
255434,Don't Do It,[]
255439,That's How Love Goes,[]
255460,If You Let Me,[]
255464,I Found My Dad,[]
255465,I Love You More Than You'll Ever Know,[]
255466,Sunday Morning Sunshine,[]
255521,Ben,[]
255527,Starting All Over Again,[]
255528,Loving You Just Crossed My Mind,[]
255542,Poor Boy,[]
255555,If You Can Beat Me Rockin' (You Can Have My Chair),[]
255558,We Can Make It Together,[]
255578,The People Tree,[]
255583,Suite: Man And Woman,[]
255585,Mama Told Me Not To Come,[]
255625,Why/Lonely Boy,[]
255626,Use Me,[]
255629,The City Of New Orleans,[]
255631,Tight Rope,[]
255633,Don't Ever Be Lonely (A Poor Little Fool Like Me),[]
255636,Can't You Hear The Song?,[]
255668,I'll Make You Music,[]
255672,Together Alone,[]
255679,I Got A Thing About You Baby,[]
255680,Roberta,[]
255718,Popcorn,[]
255728,From The Beginning,[]
255729,Get On The Good Foot-Part 1,[]
255735,A Piece Of Paper,[]
255751,(It's The Way) Nature Planned It,[]
255773,"Hey, You Love",[]
255777,Deteriorata,[]
255782,Song Seller,[]
255784,Redwood Tree,[]
255807,Baby Don't Get Hooked On Me,[]
255819,Go All The Way,[]
255823,Speak To The Sky,[]
255826,Back Stabbers,[]
255829,Rock Me Baby,[]
255838,Geronimo's Cadillac,[]
255840,Don't Hide Your Love,[]
255842,Slaughter,[]
255863,Colorado,[]
255865,Guess Who/Them Changes,[]
255867,A Lonely Man/The Man & The Woman (The Boy & The Girl),[]
255882,Runnin' Back To Saskatoon,[]
255919,Black & White,[]
255927,Play Me,[]
255928,Saturday In The Park,[]
255944,Sweet Caroline (Good Times Never Seemed So Good),[]
255953,Toast To The Fool,[]
255968,Best Thing,[]
255970,"Dance, Dance, Dance",[]
255971,The Mosquito,[]
255972,Dinah Flo,[]
256020,Beautiful Sunday,[]
256028,Honky Cat,[]
256029,Alone Again (Naturally),[]
256031,If You Leave Me Tonight I'll Cry,[]
256050,Easy Livin,[]
256051,"For Emily, Whenever I May Find Her",[]
256056,Think (About It),[]
256059,"Carry Me, Carrie",[]
256080,Sing A Song/Make Your Own Kind Of Music,[]
256081,With Pen In Hand,[]
256086,Happier Than The Morning Sun,[]
256128,"My Man, A Sweet Man",[]
256141,Pop That Thang,[]
256158,Money Back Guarantee,[]
256159,I Will Never Pass This Way Again,[]
256163,I've Got To Have You,[]
256177,Evil Ways,[]
256178,"Mean Little Woman, Rosalie",[]
256183,Take Me Bak 'Ome,[]
256216,Rock And Roll Part 2,[]
256219,Brandy (You're A Fine Girl),[]
256222,The Guitar Man,[]
256226,Long Cool Woman (In A Black Dress),[]
256236,You're Still A Young Man,[]
256253,Rock Me On The Water,[]
256268,Lady Eleanor,[]
256276,Keep On Running,[]
256277,Buzzy Brown,[]
256319,You Don't Mess Around With Jim,[]
256321,Join Together,[]
256328,Hold Your Head Up,[]
256346,"Your Wonderful, Sweet Sweet Love",[]
256348,Jackie Wilson Said (I'm In Heaven When You Smile),[]
256356,In Time,[]
256381,Whatever Turns You On,[]
256382,(They Long To Be) Close To You,[]
256416,Goodbye To Love,[]
256420,Motorcycle Mama,[]
256422,Lookin' Through The Windows,[]
256429,This World,[]
256431,Baby Let Me Take You (In My Arms),[]
256451,Zing Went The Strings Of My Heart,[]
256457,In The Quiet Morning,[]
256475,Life And Breath,[]
256480,Fool's Paradise,[]
256518,Coconut,[]
256520,The Happiest Girl In The Whole U.S.A.,[]
256525,Sealed With A Kiss,[]
256533,Sweet Inspiration/Where You Lead,[]
256534,Small Beginnings,[]
256536,The Coldest Days Of My Life (Part 1),[]
256541,Put It Where You Want It,[]
256551,When You Say Love,[]
256553,That's The Way God Planned It,[]
256563,How Could I Let You Get Away,[]
256568,Wholy Holy,[]
256576,Summer Sun,[]
256584,A Sunday Kind Of Love,[]
256611,Daddy Don't You Walk So Fast,[]
256622,How Do You Do?,[]
256645,A Simple Man,[]
256647,In The Ghetto,[]
256656,Alabama Wild Man,[]
256669,Beat Me Daddy Eight To The Bar,[]
256677,Down By The River,[]
256716,Too Late To Turn Back Now,[]
256729,Hold Her Tight,[]
256743,We've Come Too Far To End It Now,[]
256750,I Miss You (Part I),[]
256762,If I Were A Carpenter,[]
256763,Starman,[]
256764,What A Wonderful Thing We Have,[]
256774,Goodbye Again,[]
256784,He's An Indian Cowboy In The Rodeo,[]
256832,Conquistador,[]
256846,Duncan,[]
256866,Rip Off,[]
256872,Melissa,[]
256879,I Could Never Be Happy,[]
256882,Sittin' On A Time Bomb (Waitin' For The Hurt To Come),[]
256885,Southbound Train,[]
256921,Rocket Man,[]
256922,Outa-Space,[]
256936,People Make The World Go Round,[]
256946,The Runway,[]
256950,Honky Tonk - Part 1,[]
256970,"Look What They've Done To My Song, Ma",[]
257023,I Wanna Be Where You Are,[]
257034,We're Free,[]
257050,War Song,[]
257079,Couldn't I Just Tell You,[]
257081,Turn On Your Love Light,[]
257107,Song Sung Blue,[]
257118,The Candy Man,[]
257119,Troglodyte (Cave Man),[]
257121,Mary Had A Little Lamb/Little Woman Love,[]
257129,Superwoman (Where Were You When I Needed You),[]
257137,Brown Eyed Girl,[]
257143,In A Broken Dream,[]
257156,Men Of Learning,[]
257162,Vanilla Ólay,[]
257164,Eddie's Love,[]
257174,Country Woman,[]
257178,Rock And Roll Crazies,[]
257222,Nice To Be With You,[]
257223,I've Been Lonely For So Long,[]
257234,We're On Our Way,[]
257259,Victim Of A Foolish Heart,[]
257285,Mother Nature,[]
257319,(Last Night) I Didn't Get To Sleep At All,[]
257326,Amazing Grace,[]
257337,How Can I Be Sure,[]
257345,Funk Factory,[]
257364,Bed And Board,[]
257365,Francene,[]
257415,Sylvia's Mother,[]
257416,Living In A House Divided,[]
257427,You Said A Bad Word,[]
257439,I Saw The Light,[]
257440,Powder Blue Mercedes Queen,[]
257467,I Don't Need No Doctor,[]
257472,Tell Me This Is A Dream,[]
257477,Cat's Eye In The Window,[]
257510,Morning Has Broken,[]
257517,Walkin' In The Rain With The One I Love,[]
257521,It's Going To Take Some Time,[]
257526,Immigration Man,[]
257538,Automatically Sunshine,[]
257551,Woman's Gotta Have It,[]
257583,It's The Same Old Love,[]
257585,Hushabye,[]
257617,Hot Rod Lincoln,[]
257625,Isn't Life Strange,[]
257627,Someday Never Comes,[]
257630,Ask Me What You Want,[]
257636,Long Haired Lover From Liverpool,[]
257640,Hot 'N' Nasty,[]
257663,Kate,[]
257665,"Guns, Guns, Guns",[]
257683,"Getting It On/Ride, Sally, Ride",[]
257708,Look What You Done For Me,[]
257725,Little Bitty Pretty One,[]
257734,Me And Julio Down By The Schoolyard,[]
257735,There It Is (Part 1),[]
257737,Slippin' Into Darkness,[]
257740,"Love Theme From ""The Godfather"" (Speak Softly Love)",[]
257749,You're The Man (Part 1),[]
257752,Walk In The Night,[]
257757,Woman Is The Nigger Of The World,[]
257766,"Love Theme From ""The Godfather""",[]
257812,I Gotcha,[]
257814,"Betcha By Golly, Wow",[]
257842,Everything Good Is Bad,[]
257857,An American Trilogy,[]
257867,Giving Up,[]
257868,The Young New Mexican Puppeteer,[]
257870,"Just As Long As You Need Me, Part I",[]
257878,I Got Some Help I Don't Need,[]
257921,Day Dreaming,[]
257922,Doctor My Eyes,[]
257924,"Vincent (Starry, Starry Night)/Castles In The Air",[]
257933,Back Off Boogaloo,[]
257934,Rockin' Robin,[]
257937,You Could Have Been A Lady,[]
257938,Smilin',[]
257957,To Get To You,[]
257972,Ain't That Loving You (For More Reasons Than One),[]
257981,Pass The Peas,[]
257982,Bring It Home (And Give It To Me),[]
258037,Run Run Run,[]
258042,Hearsay,[]
258043,Lay-Away,[]
258061,Upsetter,[]
258063,Legend In Your Own Time,[]
258067,I Can't Turn You Loose,[]
258106,A Horse With No Name,[]
258109,The Family Of Man,[]
258116,Suavecito,[]
258123,A Cowboys Work Is Never Done,[]
258127,In The Rain,[]
258146,Mister Can't You See,[]
258154,I Had It All The Time,[]
258156,Telegram Sam,[]
258165,Jubilation,[]
258166,Ain't Wastin' Time No More,[]
258171,Speak Softly Love,[]
258172,Don't Want To Say Goodbye,[]
258184,Me And Jesus,[]
258223,Jump Into The Fire,[]
258224,Help Me Make It Through The Night,[]
258228,Every Day Of My Life,[]
258231,Pool Of Bad Luck,[]
258256,Am I Losing You,[]
258265,Amerikan Music,[]
258267,"Beg, Steal Or Borrow",[]
258270,Vahevala,[]
258272,Too Beautiful To Last,[]
258277,Iko Iko,[]
258280,Love's Street And Fool's Road,[]
258308,Heart Of Gold,[]
258318,Roundabout,[]
258327,Taurus,[]
258341,Chantilly Lace,[]
258349,What'd I Say,[]
258379,I Just Wanna Be Your Friend,[]
258385,Where There's A Will There's A Way,[]
258412,Mother And Child Reunion,[]
258421,Give Ireland Back To The Irish,[]
258424,The Day I Found Myself,[]
258425,Crazy Mama,[]
258439,Rock And Roll,[]
258459,Money Runner,[]
258462,Cotton Jenny,[]
258469,Taos New Mexico,[]
258470,Simple Song Of Freedom,[]
258477,Eve,[]
258480,Mendelssohn's 4th (Second Movement),[]
258508,Jungle Fever,[]
258510,The Lion Sleeps Tonight,[]
258518,Rock And Roll Lullaby,[]
258532,The Way Of Love,[]
258534,Take A Look Around,[]
258540,Everything I Own,[]
258544,Down By The Lazy River,[]
258554,Son Of My Father,[]
258562,Your Precious Love,[]
258566,Nutrocker,[]
258577,School Teacher,[]
258580,Sugaree,[]
258628,King Heroin,[]
258631,Glory Bound,[]
258632,Tiny Dancer,[]
258638,Heartbroken Bopper,[]
258640,Afro-Strut,[]
258644,Could It Be Forever,[]
258645,Now Run And Tell That,[]
258653,Louisianna,[]
258654,Waking Up Alone,[]
258673,Cheer,[]
258674,Rockin' With The King,[]
258683,All His Children,[]
258686,Don't Ever Take Away My Freedom,[]
258717,Precious And Few,[]
258720,Bang A Gong (Get It On),[]
258722,We've Got To Get It On Again,[]
258723,Ain't Understanding Mellow,[]
258736,Runnin' Away,[]
258740,No One To Depend On,[]
258755,Living Without You,[]
258819,Hurting Each Other,[]
258831,Sweet Seasons,[]
258840,"You Want It, You Got It",[]
258842,American Pie (Parts I & II),[]
258844,Don't Say You Don't Remember,[]
258854,Goin' Down (On The Road To L.A.),[]
258855,Iron Man,[]
258914,Floy Joy,[]
258928,Talking Loud And Saying Nothing - Part I,[]
258929,Ring The Living Bell,[]
258934,Softly Whispering I Love You,[]
258945,"Love Me, Love Me Love",[]
258946,The Nickel Song,[]
258954,(Oh Lord Won't You Buy Me A) Mercedes Benz,[]
258955,Diamonds Are Forever,[]
258959,Do What You Set Out To Do,[]
258962,Mr. Penguin-Pt. I,[]
258970,If We Only Have Love,[]
258983,Thank God For You Baby,[]
259018,My World,[]
259032,Handbags And Gladrags,[]
259048,Footstompin' Music,[]
259055,That's What Love Will Make You Do,[]
259056,Brian's Song,[]
259069,Up In Heah,[]
259082,"Willpower Weak, Temptation Strong",[]
259112,Never Been To Spain,[]
259142,The Witch Queen Of New Orleans,[]
259158,Gimme Some More,[]
259161,White Lies,[]
259172,(Love Me) Love The Life I Lead,[]
259174,Keep On Doin' What You're Doin',[]
259175,Tell 'Em Willie Boy 's A'Comin',[]
259179,You Got Me Walking,[]
259180,It's All Up To You,[]
259210,Anticipation,[]
259212,Day After Day,[]
259218,Fire And Water,[]
259235,Kiss An Angel Good Mornin',[]
259237,That's The Way I Feel About Cha,[]
259240,Feeling Alright,[]
259242,Together Let's Find Love,[]
259252,Country Wine,[]
259260,Standing In For Jody,[]
259278,It's Four In The Morning,[]
259282,Da Doo Ron Ron (When He Walked Me Home),[]
259310,Brand New Key,[]
259312,Clean Up Woman,[]
259339,Show Me How,[]
259343,Son Of Shaft,[]
259344,Do The Funky Penguin Part I,[]
259356,Love Gonna Pack Up (And Walk Out),[]
259358,Keep Playin' That Rock 'N' Roll,[]
259367,Step Out,[]
259380,One Way Sunday,[]
259386,We're Together,[]
259412,Drowning In The Sea Of Love,[]
259428,Levon,[]
259434,Make Me The Woman That You Go Home To,[]
259444,Tupelo Honey,[]
259451,Move 'Em Out,[]
259454,Ajax Airlines,[]
259463,I Wrote A Simple Song,[]
259465,Runaway/Happy Together,[]
259467,Lonesome Mary,[]
259476,A Simple Game,[]
259481,Number Wonderful,[]
259484,Shake Off The Demon,[]
259517,I'd Like To Teach The World To Sing (In Perfect Harmony),[]
259543,Daisy Mae,[]
259544,The Harder I Try (The Bluer I Get),[]
259546,Under My Wheels,[]
259556,Pain (Part I),[]
